Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
2020-07-03,0.6967,0.542,0.6333,1.2078,0.6342,0.4778,0.204,0.2356,0.8389
2020-07-04,0.7483,0.5405,0.6067,1.045,0.6835,0.2889,0.1614,0.1281,0.8278
2020-07-05,0.6308,0.53285,0.59125,1.03235,0.5531,0.31665,0.15315,0.11435,0.8110999999999999
2020-07-06,0.5133,0.5252,0.5758,1.0197,0.4227,0.3444,0.1449,0.1006,0.7944
2020-07-07,0.3417,0.4092,0.4942,1.0303,0.4421,0.4056,0.2724,0.125,0.6333
2020-07-08,0.6283,0.5168,0.5375,0.9634,0.5898,0.4778,0.1815,0.16,0.5778
2020-07-09,0.6217,0.4298,0.5158,0.8125,0.4675,0.4278,0.1632,0.14,1.0167
2020-07-10,0.5767,0.4923,0.55,0.8622,0.595,0.3889,0.1809,0.1425,0.5444
2020-07-11,1.105,0.516,0.6117,0.9222,0.6394,0.65,0.2319,0.2219,0.4944
2020-07-12,0.83415,0.478,0.5742,1.16265,0.6649,0.6722,0.20515,0.18064999999999998,0.68055
2020-07-13,0.5633,0.44,0.5367,1.4031,0.6904,0.6944,0.1784,0.1394,0.8667
2020-07-14,0.5683,0.3975,0.5225,1.3756,0.5696,0.4333,0.2338,0.175,0.5889
2020-07-15,0.915,0.3705,0.5542,1.5997,0.7433,1.4778,0.2308,0.2169,0.9944
2020-07-16,0.745,0.445,0.5283,1.3578,0.665,0.7389,0.134,0.2825,3.4944
2020-07-17,1.215,0.403,0.5917,1.4931,0.665,1.0444,0.2251,0.1831,0.8944
2020-07-18,0.7483,0.269,0.5858,1.2763,0.5673,1.0,0.2111,0.1475,0.9
2020-07-19,0.7519928571428571,0.27835714285714286,0.5796714285714286,1.2351357142857142,0.55535,1.0,0.21030714285714286,0.15839285714285714,0.8857142857142857
2020-07-20,0.7556857142857143,0.28771428571428576,0.5735428571428571,1.1939714285714285,0.5434,1.0,0.20951428571428574,0.1692857142857143,0.8714285714285714
2020-07-21,0.7593785714285715,0.2970714285714286,0.5674142857142856,1.152807142857143,0.53145,1.0,0.20872142857142859,0.1801785714285714,0.8571428571428572
2020-07-22,0.7630714285714285,0.30642857142857144,0.5612857142857143,1.1116428571428572,0.5195000000000001,1.0,0.20792857142857143,0.19107142857142856,0.8428571428571429
2020-07-23,0.7667642857142857,0.3157857142857143,0.5551571428571429,1.0704785714285714,0.5075500000000001,1.0,0.20713571428571428,0.2019642857142857,0.8285714285714285
